NumberOfStrings,RSHash,JSHash,PJWHash,ELFHash,BKDRHash,SDBMHash,DJBHash,DEKHash,APHash
10000,0,0,2,2,0,0,0,0,0
20000,0,0,14,14,0,0,0,0,0
30000,0,0,20,20,0,0,0,0,0
40000,0,1,41,41,0,0,0,0,0
50000,0,2,67,67,0,0,0,0,0
60000,0,4,101,101,0,0,0,0,0
70000,0,4,124,124,0,0,0,0,0
80000,0,5,168,168,0,0,0,0,0
90000,0,6,202,202,0,0,0,0,0
100000,0,7,262,262,0,0,0,0,0
110000,0,7,322,322,0,0,0,0,1
120000,0,7,364,364,0,0,0,0,1
130000,0,7,422,422,0,0,0,0,1
140000,0,7,495,495,0,0,0,0,1
150000,0,8,569,569,0,0,0,0,2
160000,0,10,649,649,0,0,0,0,2
170000,0,10,720,720,0,0,0,0,2
180000,0,13,812,812,0,0,0,0,2
190000,0,19,907,907,1,0,0,0,2
200000,0,25,1008,1008,1,0,0,0,3
210000,0,28,1108,1108,2,0,0,0,3
220000,0,32,1218,1218,2,0,0,0,3
230000,0,33,1341,1341,2,0,0,0,3
240000,0,35,1471,1471,2,0,0,0,3
250000,0,36,1580,1580,2,0,0,0,4
260000,0,40,1695,1695,2,0,0,0,4
270000,0,43,1813,1813,2,0,0,0,4
280000,0,43,1957,1957,2,0,0,0,5
290000,0,44,2099,2099,2,0,0,0,7
300000,0,48,2238,2238,2,0,0,0,8
310000,0,55,2384,2384,4,1,0,0,9
320000,0,60,2547,2547,4,2,0,0,9
330000,0,67,2732,2732,4,2,0,0,9
340000,0,72,2910,2910,5,2,0,0,10
350000,0,76,3088,3088,5,2,0,0,10
360000,0,85,3257,3257,6,2,0,0,11
370000,0,93,3434,3434,6,2,0,0,13
380000,0,98,3615,3615,7,3,0,0,13
390000,0,105,3789,3789,7,3,0,0,16
400000,0,109,3964,3964,7,3,0,0,16
410000,0,117,4175,4175,7,3,0,0,18
420000,0,123,4373,4373,9,3,0,0,19
430000,0,129,4581,4581,9,3,0,0,19
440000,0,136,4796,4796,10,3,0,0,20
450000,0,141,5033,5033,12,4,0,0,21
460000,0,145,5257,5257,12,4,0,0,21
470000,0,151,5500,5500,13,4,0,0,22
480000,0,157,5728,5728,16,4,0,0,23
490000,0,161,5979,5979,16,4,0,0,23
500000,0,165,6225,6225,17,6,0,0,25
510000,0,172,6478,6478,19,6,0,0,28
520000,0,181,6723,6723,19,6,0,0,29
530000,0,184,6992,6992,19,6,0,0,30
540000,0,190,7258,7258,20,6,0,0,32
550000,0,198,7539,7539,21,8,0,0,33
560000,0,207,7806,7806,21,8,0,0,33
570000,0,220,8070,8070,21,8,0,0,33
580000,0,223,8340,8340,22,10,0,0,34
590000,0,228,8626,8626,23,11,0,0,34
600000,0,238,8922,8922,23,11,0,0,35
610000,0,243,9210,9210,25,11,0,0,36
620000,0,258,9489,9489,27,11,0,0,36
630000,0,265,9807,9807,27,12,0,0,37
640000,0,272,10108,10108,27,13,0,0,39
650000,0,282,10420,10420,28,13,0,0,39
660000,0,289,10720,10720,30,13,0,0,40
670000,1,297,11047,11047,30,13,0,0,43
680000,1,310,11370,11370,30,13,0,0,44
690000,1,313,11684,11684,30,14,0,0,45
700000,1,317,12022,12022,31,14,0,0,45
710000,1,322,12365,12365,31,14,0,0,45
720000,1,330,12691,12691,31,16,0,0,46
730000,1,341,13044,13044,31,17,0,0,47
740000,1,354,13413,13413,32,17,0,0,50
750000,1,364,13774,13774,33,17,0,0,52
760000,1,377,14135,14135,35,18,0,0,56
770000,1,390,14554,14554,35,18,0,0,58
780000,1,400,14931,14931,36,19,0,0,63
790000,1,410,15300,15300,37,19,0,0,64
800000,1,422,15642,15642,38,19,0,0,66
810000,1,430,16042,16042,39,19,0,0,69
820000,1,444,16438,16438,40,20,0,0,70
830000,1,454,16879,16879,41,20,0,0,74
840000,1,463,17280,17280,42,20,0,0,75
850000,1,481,17707,17707,43,20,0,0,78
860000,1,488,18114,18114,47,20,0,0,83
870000,1,499,18545,18545,49,20,0,0,84
880000,1,509,18979,18979,51,20,0,0,86
890000,1,519,19421,19421,53,21,0,0,88
900000,1,526,19856,19856,55,21,0,0,88
910000,1,537,20295,20295,55,21,0,0,89
920000,1,551,20779,20779,58,22,0,0,94
930000,1,561,21252,21252,58,22,0,0,95
940000,1,579,21690,21690,58,22,0,0,96
950000,1,600,22152,22152,59,22,0,0,99
960000,1,605,22615,22615,62,22,0,0,101
970000,1,615,23074,23074,64,22,0,0,107
980000,1,631,23573,23573,64,23,0,0,109
990000,1,643,24112,24112,66,23,0,0,112
1000000,1,649,24618,24618,68,23,0,0,115
